PM2_5,NO2,CO,SO2,O3,AQI
33.95,17.21,0.47,12.85,24.2,79.0
48.68,32.91,0.14,9.66,48.79,136.0
27.71,26.48,0.95,2.98,14.75,88.0
62.38,34.51,0.63,5.24,32.49,130.0
33.94,22.05,0.46,4.69,23.97,77.0
63.16,57.54,0.76,11.04,84.77,160.0
41.4,26.84,0.67,4.99,25.91,90.0
52.72,37.04,1.44,11.0,31.62,144.0
44.74,10.19,0.71,3.32,24.45,138.0
30.94,44.8,0.41,11.93,29.61,82.0
63.88,51.04,1.26,8.36,73.47,126.0
19.4,19.76,0.51,6.03,37.37,53.0
13.1,14.82,0.74,4.74,42.26,85.0
19.03,19.23,0.4,13.57,35.2,58.0
52.48,38.01,0.59,8.76,15.79,99.0
65.83,45.39,1.1,14.24,47.41,123.0
50.62,28.02,0.9,15.91,52.16,123.0
79.23,47.26,1.54,12.21,22.38,205.0
30.71,15.91,1.11,15.93,9.32,94.0
34.46,30.02,0.93,9.9,30.49,89.0
101.75,26.59,10.55,5.96,33.67,322.0
80.31,38.39,0.79,6.99,30.62,156.0
26.55,12.23,0.58,8.55,73.49,121.0
58.91,77.1,1.1,2.76,19.82,125.0
47.8,4.86,0.63,2.86,25.36,73.0
12.77,8.45,0.53,14.06,22.67,78.0
81.22,11.75,1.01,9.53,39.42,172.0
37.09,7.48,0.69,12.4,38.42,102.0
46.08,31.1,0.49,6.57,40.05,108.0
38.98,46.8,0.53,18.59,32.99,126.0
116.62,64.82,1.63,17.39,48.03,287.0
28.54,30.65,0.71,5.24,34.91,117.0
47.34,41.09,0.98,3.86,16.42,105.0
21.28,43.64,0.17,4.1,21.7,66.0
38.89,17.76,8.23,4.25,22.0,165.0
32.73,34.88,0.44,4.73,20.87,70.0
73.17,18.95,0.95,3.3,90.96,144.0
293.73,97.76,2.96,23.06,114.3,450.0
50.71,35.16,0.06,8.16,32.58,117.0
306.17,66.97,1.95,17.97,76.45,451.0
158.06,30.4,2.11,3.77,19.09,321.0
44.63,43.43,0.64,5.25,29.65,94.0
41.36,11.2,0.3,9.68,15.6,77.0
157.72,50.73,1.17,20.47,48.84,370.0
29.56,19.21,0.6,3.26,32.38,92.0
72.35,26.9,0.68,13.36,33.81,122.0
50.4,70.81,0.66,2.66,14.0,165.0
42.41,30.17,0.52,9.4,33.8,93.0
119.82,51.11,8.21,17.21,65.72,378.0
127.75,46.76,1.22,18.24,35.32,244.0
141.15,55.77,1.52,20.59,42.61,325.0
33.27,20.37,0.68,4.56,15.31,84.0
116.33,50.83,1.73,11.46,43.59,285.0
52.36,25.46,0.95,10.59,34.95,132.0
73.22,34.85,0.9,6.94,46.66,186.0
112.67,83.29,1.95,34.16,35.0,231.0
84.89,9.93,0.5,9.17,26.53,145.0
75.72,48.4,0.91,6.88,24.3,150.0
23.56,8.48,0.34,6.94,44.6,60.0
61.75,23.49,0.35,35.06,58.34,104.0
43.25,35.51,0.94,10.1,17.23,126.0
15.35,10.7,0.35,4.2,16.83,43.0
29.12,14.06,0.26,14.42,9.09,51.0
37.97,14.21,0.46,5.41,28.82,73.0
16.55,12.98,0.18,4.65,28.42,62.0
45.94,22.82,0.63,7.14,25.44,113.0
26.09,28.86,0.38,7.2,16.26,72.0
21.16,42.96,0.68,11.05,27.65,71.0
63.92,52.48,0.82,14.67,42.88,126.0
49.19,26.89,0.77,25.9,73.55,126.0
69.37,9.86,1.0,3.7,62.11,141.0
38.7,63.38,0.76,12.84,19.33,108.0
111.75,40.13,1.37,6.84,43.99,267.0
87.33,42.52,0.08,35.39,106.17,229.0
299.85,85.56,3.2,14.71,41.46,430.0
101.28,55.34,1.3,10.87,77.64,230.0
7.08,7.96,0.45,13.99,26.75,46.0
44.55,37.27,0.86,10.11,39.78,122.0
23.5,17.02,0.42,10.12,26.04,118.0
24.45,45.24,0.72,26.95,14.83,100.0
66.14,50.18,1.04,12.48,42.08,121.0
27.57,29.53,1.19,13.16,12.48,89.0
38.58,25.4,0.46,4.76,23.93,85.0
71.49,50.58,0.0,12.35,53.29,151.0
56.31,30.47,1.0,8.45,30.84,107.0
39.89,25.06,0.8,8.96,28.09,122.0
277.53,60.17,2.41,28.58,84.99,415.0
82.35,27.44,0.84,5.79,86.41,160.0
